timestamp,memory_MB,cpu_percent
2025-04-22T23:53:24.041931,56.59,0.00
2025-04-22T23:53:24.147004,56.59,6.10
2025-04-22T23:53:24.252154,56.59,91.30
2025-04-22T23:53:24.357307,56.64,98.30
2025-04-22T23:53:24.458214,56.69,100.00
2025-04-22T23:53:24.560391,56.69,99.90
2025-04-22T23:53:24.665475,56.69,99.90
2025-04-22T23:53:24.770535,56.69,99.90
2025-04-22T23:53:24.875626,56.64,13.10
2025-04-22T23:53:24.980679,56.64,0.00
2025-04-22T23:53:25.085836,56.64,44.30
2025-04-22T23:53:25.190970,56.64,100.00
2025-04-22T23:53:25.296037,56.66,100.00
2025-04-22T23:53:25.400437,56.66,100.00
2025-04-22T23:53:25.505477,56.66,100.00
2025-04-22T23:53:25.610517,56.66,100.00
2025-04-22T23:53:25.715550,56.66,36.20
2025-04-22T23:53:25.820608,56.66,0.10
2025-04-22T23:53:25.925740,56.66,19.20
2025-04-22T23:53:26.028262,56.66,100.00
2025-04-22T23:53:26.133326,56.66,100.00
2025-04-22T23:53:26.238357,56.66,100.00
2025-04-22T23:53:26.343389,56.66,100.00
2025-04-22T23:53:26.448422,56.66,100.00
2025-04-22T23:53:26.553499,54.98,69.80
2025-04-22T23:53:26.658596,54.98,0.00
2025-04-22T23:53:26.760515,54.81,0.00
2025-04-22T23:53:26.865724,54.47,84.40
2025-04-22T23:53:26.970897,40.14,100.00
2025-04-22T23:53:27.075978,40.14,100.00
2025-04-22T23:53:27.181035,40.14,100.00
2025-04-22T23:53:27.286091,40.14,100.00
2025-04-22T23:53:27.391136,40.14,100.10
2025-04-22T23:53:27.496172,40.14,25.60
2025-04-22T23:53:27.601231,40.14,0.10
2025-04-22T23:53:27.706421,40.14,30.00
2025-04-22T23:53:27.808871,40.14,99.50
2025-04-22T23:53:27.909920,40.16,100.60
2025-04-22T23:53:28.014967,40.23,100.00
2025-04-22T23:53:28.117981,40.23,100.00
2025-04-22T23:53:28.223017,40.22,100.00
2025-04-22T23:53:28.328047,40.22,60.10
2025-04-22T23:53:28.433108,40.22,0.00
2025-04-22T23:53:28.538152,40.22,0.20
2025-04-22T23:53:28.643324,40.22,97.30
2025-04-22T23:53:28.745372,40.22,100.00
2025-04-22T23:53:28.850411,40.22,100.10
2025-04-22T23:53:28.955451,40.22,99.70
2025-04-22T23:53:29.060928,40.22,99.90
2025-04-22T23:53:29.163841,40.17,88.60
2025-04-22T23:53:29.268902,40.17,0.00
2025-04-22T23:53:29.372776,40.17,1.50
2025-04-22T23:53:29.474293,41.83,63.30
2025-04-22T23:53:29.576903,41.88,100.00
2025-04-22T23:53:29.681958,41.92,98.20
2025-04-22T23:53:29.787033,41.94,99.80
2025-04-22T23:53:29.892123,41.94,100.00
2025-04-22T23:53:29.996048,41.94,100.10
2025-04-22T23:53:30.101126,42.20,21.80
2025-04-22T23:53:30.206220,42.20,0.60
2025-04-22T23:53:30.311394,42.28,36.00
2025-04-22T23:53:30.416514,42.28,100.00
2025-04-22T23:53:30.521583,42.25,100.00
2025-04-22T23:53:30.626650,42.25,100.00
2025-04-22T23:53:30.729149,42.25,100.00
2025-04-22T23:53:30.834195,42.25,100.10
2025-04-22T23:53:30.937700,42.25,47.00
2025-04-22T23:53:31.042777,42.25,0.00
2025-04-22T23:53:31.147848,42.25,10.30
2025-04-22T23:53:31.253055,42.25,99.60
2025-04-22T23:53:31.358153,42.25,100.20
2025-04-22T23:53:31.463192,42.25,100.00
2025-04-22T23:53:31.568229,42.25,100.00
2025-04-22T23:53:31.673260,42.25,100.00
2025-04-22T23:53:31.778295,42.25,68.70
2025-04-22T23:53:31.883380,42.25,0.10
2025-04-22T23:53:31.988438,42.25,0.00
2025-04-22T23:53:32.093645,42.25,88.50
2025-04-22T23:53:32.195545,42.25,100.00
2025-04-22T23:53:32.300609,42.25,100.10
